,Id,Model,EHI,Extractiveness Factor (EF),Positive Hallucination (PH),Over Focus (OF),Negative Hallucination (NH),Lost Focus (LF),Entity F1 Score
0,10157432,facebook/bart-large-cnn,0,0,0,0.5333333333333333,0,0.25,0
1,10157432,google/pegasus-xsum,0.20819185059422754,0.08571428571428572,0.15384615384615385,0.1111111111111111,0.6,0.2,0.15384615384615385
2,10157432,t5-large,0.22781565105106247,0.07692307692307693,0.11764705882352941,0.5483870967741935,0,0.1111111111111111,0.11764705882352941
3,10157432,gpt-3.5-turbo,0.1906325326240545,0.07317073170731707,0.10526315789473684,0.5757575757575758,0.09090909090909091,0.09090909090909091,0.10526315789473685
4,10157432,RefSum,0.9455587392550143,0.15789473684210525,1,0.06666666666666667,0,0,1
5,34185458,facebook/bart-large-cnn,0,0,0,0.5454545454545454,0,0,0
6,34185458,google/pegasus-xsum,0,0,0,0,1,0,0
7,34185458,t5-large,0,0,0,0.4,0,0,0
8,34185458,gpt-3.5-turbo,0,0,0,0.5,0.25,0,0
9,34185458,RefSum,0,0,0,0,0,0,0
10,47967764,facebook/bart-large-cnn,0.5138121546961326,0.18181818181818182,0.36363636363636365,0.5161290322580645,0,0,0.3636363636363636
11,47967764,google/pegasus-xsum,0,0,0,0.24,0,0.6666666666666666,0
12,47967764,t5-large,0,0,0,0.37037037037037035,0,0.4,0
13,47967764,gpt-3.5-turbo,0,0,0,0.2222222222222222,0.4,0.4,0
14,47967764,RefSum,0.9365853658536586,0.23076923076923078,1,0.08333333333333333,0,0,1
15,blogs-news-from-elsewhere-34313610,facebook/bart-large-cnn,0,0,0,0.21052631578947367,0.3333333333333333,0,0
16,blogs-news-from-elsewhere-34313610,google/pegasus-xsum,0.8636363636363636,0,0.6666666666666666,0.10526315789473684,0,0,0.6666666666666666
17,blogs-news-from-elsewhere-34313610,t5-large,0,0,0,0.11764705882352941,0,0,0
18,blogs-news-from-elsewhere-34313610,gpt-3.5-turbo,0.6363636363636364,0,0.5,0.2857142857142857,0,0,0.5
19,blogs-news-from-elsewhere-34313610,RefSum,1,0,1,0,0,0,1
20,blogs-news-from-elsewhere-51090657,facebook/bart-large-cnn,0,0,0,0.7058823529411765,0.14285714285714285,0,0
21,blogs-news-from-elsewhere-51090657,google/pegasus-xsum,1,0,0.6666666666666666,0,0,0,0.6666666666666666
22,blogs-news-from-elsewhere-51090657,t5-large,0,0,0,0.18181818181818182,0,0,0
23,blogs-news-from-elsewhere-51090657,gpt-3.5-turbo,0.45086705202312144,0,0.4,0.15384615384615385,0.3333333333333333,0,0.4
24,blogs-news-from-elsewhere-51090657,RefSum,1,0,1,0,0,0,1
25,business-18074966,facebook/bart-large-cnn,0,0,0,0.3333333333333333,0.2857142857142857,0,0
26,business-18074966,google/pegasus-xsum,0,0,0,0.07407407407407407,0.75,0,0
27,business-18074966,t5-large,0,0,0,0.3448275862068966,0.16666666666666666,0,0
28,business-18074966,gpt-3.5-turbo,0,0,0,0,1,0,0
29,business-18074966,RefSum,1,0,1,0,0,0,1
30,business-22689987,facebook/bart-large-cnn,0.32673267326732675,0.08333333333333333,0.16666666666666666,0.5151515151515151,0,0,0.16666666666666666
31,business-22689987,google/pegasus-xsum,0.96742671009772,0.1,1,0.037037037037037035,0,0,1
32,business-22689987,t5-large,0.4606240713224368,0.09090909090909091,0.2222222222222222,0.36666666666666664,0,0,0.2222222222222222
33,business-22689987,gpt-3.5-turbo,0.42857142857142855,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0,0.3333333333333333
34,business-22689987,RefSum,0.96742671009772,0.1,1,0.037037037037037035,0,0,1
35,business-26475437,facebook/bart-large-cnn,0.288864388092613,0.06976744186046512,0.13333333333333333,0.5,0,0,0.13333333333333333
36,business-26475437,google/pegasus-xsum,0.3229166666666667,0.08333333333333333,0.25,0.03225806451612903,0.6666666666666666,0,0.25
37,business-26475437,t5-large,0.18172023702639614,0.061224489795918366,0.09523809523809523,0.7045454545454546,0,0,0.09523809523809523
38,business-26475437,gpt-3.5-turbo,0.12155074116305586,0,0.1111111111111111,0.34146341463414637,0.38461538461538464,0.07692307692307693,0.1111111111111111
39,business-26475437,RefSum,0.9726815240833933,0.07894736842105263,1,0.030303030303030304,0,0,1
40,business-26802475,facebook/bart-large-cnn,0,0,0,0.1935483870967742,0,0,0
41,business-26802475,google/pegasus-xsum,0,0,0,0,0,0,0
42,business-26802475,t5-large,0,0,0,0.13333333333333333,0,0,0
43,business-26802475,gpt-3.5-turbo,0,0,0,0.30303030303030304,0,0,0
44,business-26802475,RefSum,0,0,0,0,0,0,0
45,business-31949307,facebook/bart-large-cnn,0,0,0,0.16666666666666666,0,0,0
46,business-31949307,google/pegasus-xsum,0,0,0,0.16666666666666666,0,0,0
47,business-31949307,t5-large,0,0,0,0.24,0,0,0
48,business-31949307,gpt-3.5-turbo,0,0,0,0.16,0.3333333333333333,0,0
49,business-31949307,RefSum,0,0,0,0,0,0,0
50,business-35240093,facebook/bart-large-cnn,0,0,0,0.5,0,0.14285714285714285,0
51,business-35240093,google/pegasus-xsum,0.24878048780487808,0.09090909090909091,0.16666666666666666,0.1111111111111111,0.6666666666666666,0,0.16666666666666666
52,business-35240093,t5-large,0,0,0,0.38461538461538464,0,0.2,0
53,business-35240093,gpt-3.5-turbo,0.3096674200839522,0.06976744186046512,0.2727272727272727,0.5135135135135135,0.25,0,0.2727272727272727
54,business-35240093,RefSum,0.9671641791044776,0.09090909090909091,1,0.037037037037037035,0,0,1
55,business-38842721,facebook/bart-large-cnn,0,0,0,0.3137254901960784,0.1111111111111111,0,0
56,business-38842721,google/pegasus-xsum,0,0,0,0.17391304347826086,0,0,0
57,business-38842721,t5-large,0,0,0,0.3137254901960784,0.1111111111111111,0,0
58,business-38842721,gpt-3.5-turbo,0,0,0,0.22641509433962265,0.45454545454545453,0,0
59,business-38842721,RefSum,0,0,0,0,0,0,0
60,business-38878091,facebook/bart-large-cnn,0,0,0,0.4878048780487805,0,0.1,0
61,business-38878091,google/pegasus-xsum,0.7073170731707317,0.08333333333333333,0.4,0.2,0,0,0.4
62,business-38878091,t5-large,0.43591350673769974,0.075,0.2222222222222222,0.38461538461538464,0,0,0.2222222222222222
63,business-38878091,gpt-3.5-turbo,0.19273693534100975,0.061224489795918366,0.1111111111111111,0.6041666666666666,0.11764705882352941,0,0.1111111111111111
64,business-38878091,RefSum,0.9721518987341772,0.09090909090909091,1,0.03125,0,0,1
65,business-39841164,facebook/bart-large-cnn,0.3249714937286203,0.046875,0.25,0.11666666666666667,0,0.5,0.25
66,business-39841164,google/pegasus-xsum,0.46316425120772947,0.047619047619047616,0.5714285714285714,0.05084745762711865,0,0.6666666666666666,0.5714285714285715
67,business-39841164,t5-large,0,0,0,0.13333333333333333,0,0.75,0
68,business-39841164,gpt-3.5-turbo,0.39306358381502887,0.08333333333333333,0.25,0.2647058823529412,0.16666666666666666,0.08333333333333333,0.25
69,business-39841164,RefSum,0.958005249343832,0.140625,1,0.05,0,0,1
70,business-40375970,facebook/bart-large-cnn,0,0,0,0.23076923076923078,0.14285714285714285,0,0
71,business-40375970,google/pegasus-xsum,0.9215686274509804,0,0.5,0.0425531914893617,0,0,0.5
72,business-40375970,t5-large,0,0,0,0.043478260869565216,0,0,0
73,business-40375970,gpt-3.5-turbo,0,0,0,0.0425531914893617,0.5,0,0
74,business-40375970,RefSum,1,0,1,0,0,0,1
75,business-40666236,facebook/bart-large-cnn,0,0,0,0.29411764705882354,0,0,0
76,business-40666236,google/pegasus-xsum,1,0,1,0,0,0,1
77,business-40666236,t5-large,0,0,0,0.34285714285714286,0,0,0
78,business-40666236,gpt-3.5-turbo,0.5714285714285715,0,0.6666666666666666,0,0.5,0,0.6666666666666666
79,business-40666236,RefSum,1,0,1,0,0,0,1
80,business-41231763,facebook/bart-large-cnn,0,0,0,0.5641025641025641,0,0,0
81,business-41231763,google/pegasus-xsum,0,0,0,0.25,0,0,0
82,business-41231763,t5-large,0,0,0,0.29411764705882354,0.16666666666666666,0,0
83,business-41231763,gpt-3.5-turbo,0,0,0,0.3902439024390244,0.38461538461538464,0,0
84,business-41231763,RefSum,0,0,0,0,0,0,0
85,business-42226808,facebook/bart-large-cnn,0,0,0,0.22857142857142856,0,0.25,0
