,Model,Sentence ID,EHI,Extractiveness Factor (EF),Positive Hallucination (PH),Over Focus (OF),Negative Hallucination (NH),Lost Focus (LF),Entity F1 Score
0,facebookbart-large-cnn,1,0.41321299299964187,0.42857142857142855,0.4,0.16666666666666666,0.75,0,0.4
1,googlepegasus-xsum,1,0.4,0,0,0,0,0,0
2,gpt-3.5-turbo,1,0.3942902181574157,0.375,0.3333333333333333,0.14285714285714285,0.8,0,0.33333333333333337
3,t5-large,1,0.2811399676068169,0,0,0,1,0.3333333333333333,0
4,RefSum,1,0.5874552249568642,0.75,1,0.3333333333333333,0,0,1
5,facebookbart-large-cnn,2,0.29769516240415517,0,0,0,1,0,0
6,googlepegasus-xsum,2,0.29769516240415517,0,0,0,1,0,0
7,gpt-3.5-turbo,2,0.29769516240415517,0,0,0,1,0,0
8,t5-large,2,0.29769516240415517,0,0,0,1,0,0
9,RefSum,2,0.4,0,0,0,0,0,0
10,facebookbart-large-cnn,3,0.37704505799145965,0,0.4,0,0.75,0,0.4
11,googlepegasus-xsum,3,0.29769516240415517,0,0,0,1,0,0
12,gpt-3.5-turbo,3,0.29769516240415517,0,0,0,1,0,0
13,t5-large,3,0.29769516240415517,0,0,0,1,0,0
14,RefSum,3,0.5534572563937673,0,1,0,0,0,1
15,facebookbart-large-cnn,4,0.29769516240415517,0,0,0,1,0,0
16,googlepegasus-xsum,4,0.44686637015517244,0,0.6666666666666666,0,0.5,0,0.6666666666666666
17,gpt-3.5-turbo,4,0.44686637015517244,0,0.6666666666666666,0,0.5,0,0.6666666666666666
18,t5-large,4,0.29769516240415517,0,0,0,1,0,0
19,RefSum,4,0.5534572563937673,0,1,0,0,0,1
20,facebookbart-large-cnn,5,0.29769516240415517,0,0,0,1,0,0
21,googlepegasus-xsum,5,0.5534572563937673,0,1,0,0,0,1
22,gpt-3.5-turbo,5,0.40153705975694837,0,0.5,0,0.6666666666666666,0,0.5
23,t5-large,5,0.29769516240415517,0,0,0,1,0,0
24,RefSum,5,0.5534572563937673,0,1,0,0,0,1
25,facebookbart-large-cnn,6,0.29769516240415517,0,0,0,1,0,0
26,googlepegasus-xsum,6,0.29769516240415517,0,0,0,1,0,0
27,gpt-3.5-turbo,6,0.29769516240415517,0,0,0,1,0,0
28,t5-large,6,0.29769516240415517,0,0,0,1,0,0
29,RefSum,6,0.5534572563937673,0,1,0,0,0,1
30,facebookbart-large-cnn,7,0.29769516240415517,0,0,0,1,0,0
31,googlepegasus-xsum,7,0.5534572563937673,0,1,0,0,0,1
32,gpt-3.5-turbo,7,0.5534572563937673,0,1,0,0,0,1
33,t5-large,7,0.29769516240415517,0,0,0,1,0,0
34,RefSum,7,0.5534572563937673,0,1,0,0,0,1
35,facebookbart-large-cnn,8,0.377657508993602,0,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333
36,googlepegasus-xsum,8,0.405798557732209,0,0.4,0,0.5,0,0.4
37,gpt-3.5-turbo,8,0.29769516240415517,0,0,0,1,0,0
38,t5-large,8,0.29769516240415517,0,0,0,1,0,0
39,RefSum,8,0.5534572563937673,0,1,0,0,0,1
40,facebookbart-large-cnn,9,0.29769516240415517,0,0,0,1,0,0
41,googlepegasus-xsum,9,0.4,0,0,0,0,0,0
42,gpt-3.5-turbo,9,0.29769516240415517,0,0,0,1,0,0
43,t5-large,9,0.29769516240415517,0,0,0,1,0,0
44,RefSum,9,0.4,0,0,0,0,0,0
45,facebookbart-large-cnn,10,0.29769516240415517,0,0,0,1,0,0
46,googlepegasus-xsum,10,0.4206026896294915,0,0.5,0,0.5,0,0.5
47,gpt-3.5-turbo,10,0.35549454126868385,0,0.2857142857142857,0,0.8,0,0.28571428571428575
48,t5-large,10,0.29769516240415517,0,0,0,1,0,0
49,RefSum,10,0.5534572563937673,0,1,0,0,0,1
